,Name: ,Position: ,Overall: ,College: ,Age: ,Experience: ,Height(inches): ,Weight(lbs): 
119,James Baxter,qb,61,California,23,2,76,220
120,Charles Harris,qb,75,Nebraska,22,1,80,217
121,Brain Roser,qb,64,Hawaii,25,4,76,227
122,Jaime Schrader,qb,61,Maryland East. Shore,21,0,76,235
123,Michael Corujo,qb,64,Jacksonville State,29,8,79,248
124,Antony Flens,qb,67,Florida State,25,4,77,244
125,Charles Schaufelberge,qb,88,Kansas State,21,0,80,241
126,Sean Prescott,qb,61,Appalachian State,27,6,78,206
127,George Cummings,qb,72,Harding,28,7,73,239
128,Lester Bendel,qb,64,USC,24,3,78,202
129,Ralph Motley,qb,74,California,21,0,73,211
130,Allan Lutz,qb,73,Nicholls State,26,5,75,213
131,Gary Gidney,qb,64,Pittsburgh,29,8,75,215
132,Joseph Pickrell,qb,80,Michigan,28,7,70,235
133,Dennis Kelly,qb,63,Tennessee State,30,9,72,217
134,Loren Fox,qb,78,Michigan,27,6,73,201
135,Javier Ellis,qb,72,Mississippi State,25,4,70,244
136,Randolph Nichols,qb,58,Arizona State,26,5,78,206
137,Gabriel Rucker,qb,81,Texas,27,6,78,209
138,Gabriel Albert,qb,64,Utah,21,0,76,245
139,Tyler Cherry,qb,99,Duquesne,29,8,78,246
140,Juan Akers,qb,64,Oregon State,27,6,73,228
141,Darren Perry,qb,93,San Diego State,23,2,73,244
142,Thomas Townsend,qb,93,Northwestern,23,2,78,211
143,George Peyton,qb,68,Maine,21,0,72,202
144,David Sullivan,qb,62,N.Y.U.,26,5,78,214
145,James Brown,qb,64,Colorado State,27,6,73,244
146,Jason Ganser,qb,85,Georgia,22,1,72,211
147,Vincent Marchiori,qb,59,Miami (Fla.),26,5,73,210
148,Howard Koch,qb,60,Boise State,27,6,73,223
149,George Burgess,qb,67,Texas,31,10,74,224
150,Donald Taggart,qb,55,Faulkner University,25,4,72,250
151,Larry Shattuck,qb,62,Colorado State,29,8,71,249
152,Matthew Weinbauer,qb,71,Alabama,25,4,73,245
153,Matthew Moore,qb,70,Missouri,24,3,70,213
154,Kenneth Zamora,qb,66,USC,21,0,73,245
155,Paul Gaytan,qb,75,Idaho,23,2,74,223
156,Clay Hippler,qb,72,Arizona State,25,4,71,218
157,Brandon Hunsaker,qb,55,LSU,29,8,73,207
158,Thomas Hunter,qb,81,Cincinnati,26,5,78,224
159,Daniel Hartshorne,qb,56,No College,28,7,76,206
160,Eric Rodger,qb,95,Penn State,25,4,73,234
161,Rolland Harris,qb,65,Iowa State,28,7,73,226
162,Samuel Maxwell,qb,63,Mississippi,23,2,74,246
163,Aaron Caul,qb,57,Central Michigan,29,8,70,235
164,Shawn Graham,qb,75,Oregon,24,3,74,231
165,Thomas Hostetler,qb,95,Indiana,26,5,71,200
166,Michael Keene,qb,67,Washington,25,4,79,230
167,Edward Todd,qb,90,Notre Dame,27,6,78,213
168,Jeffrey Savage,qb,69,William & Mary,22,1,70,220
169,Nathan Hinckley,qb,60,Murray State,23,2,78,226
170,Edward Hicks,qb,67,North Carolina-Charlotte,28,7,74,205
171,David Diaz,qb,64,Ohio State,24,3,73,218
172,Richard Hill,qb,82,Virginia Tech,30,9,71,250
173,Salvador Adams,qb,69,Notre Dame,29,8,72,225
174,Michael Potter,qb,82,Maryland,24,3,80,242
175,Buddy Ryant,qb,64,Troy,25,4,77,205
176,Oscar Wade,qb,69,Miami (Fla.),22,1,79,222
177,Harold Caban,qb,63,Gardner-Webb,23,2,73,215
178,Oliver Ransom,qb,73,Wisconsin,27,6,76,211
179,Richard Castano,qb,66,Clemson,32,11,73,225
180,Seth Mcnally,qb,65,UCLA,26,5,71,202
181,John Nguyen,qb,74,Villanova,26,5,71,219
182,Blake Courtwright,qb,63,Thiel,26,5,79,238
183,Albert Haubert,qb,63,East Carolina,28,7,76,226
184,Michael Joos,qb,90,Ohio U.,30,9,76,211
185,Michael Sjolander,qb,64,Indiana,21,0,74,201
186,Rufus Banker,qb,90,Abilene Christian,25,4,75,232
187,Richard Stokes,qb,75,Montana,27,6,74,235
188,Donald Seacat,qb,55,Boise State,31,10,80,236
189,James Martinez,qb,64,North Texas,24,3,71,226
190,Winston Jasper,qb,71,Wyoming,22,1,80,239
191,Otha Nygaard,qb,56,North Carolina,30,9,74,245
192,Francis Beck,qb,73,San Jose State,27,6,80,224
193,Eugene Block,qb,69,Texas Tech,26,5,76,240
194,Rick Nesbitt,qb,72,Miami (Fla.),28,7,79,247
195,Curtis Gregory,hb,73,Grambling State,29,8,66,206
196,Michael Donofrio,hb,56,Pittsburgh,26,5,77,229
197,Jesse Lopez,hb,69,Villanova,25,4,68,215
198,Mitchell Patricio,hb,77,Virginia,23,2,72,210
199,Herb Mcleod,hb,99,Washington State,25,4,77,215
200,Son Sims,hb,69,Texas,26,5,68,230
201,Robert Schultz,hb,81,Ohio State,25,4,74,228
202,Richard Williams,hb,92,Minnesota,25,4,77,186
203,Clyde Thompson,hb,70,Presbyterian,27,6,71,206
204,David Hawkins,hb,71,Indiana,29,8,66,198
205,Walter Jackson,hb,70,Western Kentucky,26,5,67,180
206,Mario Falcon,hb,80,Michigan,26,5,75,218
207,Jerry Griffitts,hb,61,Macalester,25,4,71,222
208,Charles Massey,hb,57,Auburn,27,6,72,208
209,Warren Westphal,hb,70,Tulane,30,9,68,206
210,James Thompson,hb,72,Oregon,22,1,77,181
211,Robert Vahle,hb,63,Ball State,28,7,70,199
212,Richard Gonzalez,hb,56,Texas A&M,28,7,74,196
213,Dallas Blea,hb,79,Colorado,27,6,74,199
214,Tony Coyle,hb,60,Texas State,31,10,73,219
215,Robert Paniagua,hb,85,Oklahoma State,25,4,77,214
216,David Anderson,hb,55,Boston College,25,4,73,209
217,Robert Taylor,hb,59,Duke,21,0,73,213
218,Edward Salem,hb,75,Muhlenberg,28,7,66,194
219,Thomas Bethune,hb,61,New Mexico State,29,8,75,214
220,Daniel Beede,hb,59,Georgia,25,4,68,193
221,James Evans,hb,71,USC,21,0,73,198
222,Blair Rivett,hb,93,Ohio State,21,0,75,224
223,Christopher Shirah,hb,70,Iowa,28,7,71,206
224,Eric Almon,hb,69,UCLA,28,7,72,207
225,Bruce Johnson,hb,62,Ohio State,24,3,76,191
226,Leo Neely,hb,92,Loras,27,6,72,185
227,Efrain Tilley,hb,69,Fort Lewis,26,5,73,201
228,Anthony Leib,hb,71,Wake Forest,23,2,72,192
229,William Hummel,hb,71,Adams State,21,0,72,223
230,Thomas Gravelle,hb,72,Nevada-Las Vegas,26,5,67,204
231,Michael Burkhart,hb,67,Pennsylvania,27,6,69,224
232,Shannon Leach,hb,96,Tulane,26,5,66,198
233,John Smith,hb,55,Indiana,26,5,68,211
234,Edward Johnson,hb,56,Fort Valley State,22,1,74,192
235,Terrance Thomason,hb,56,Texas A&M - Kingsville,27,6,66,219
236,Gary Billingsley,hb,74,Texas Tech,21,0,72,206
237,James Labelle,hb,71,Michigan State,24,3,76,214
238,Brian Perkins,hb,68,UCLA,23,2,74,192
239,Edward Herzog,hb,91,Tulsa,29,8,66,220
240,Frank Lock,hb,90,Texas Christian,24,3,76,222
241,Christopher Foster,hb,59,Toledo,24,3,69,200
242,Jesus Alexander,hb,63,Missouri,21,0,69,223
243,Michael Long,hb,69,Clemson,26,5,74,188
244,Douglas Larry,hb,57,Nebraska,24,3,73,191
245,Merle Jackson,hb,61,Montana State,21,0,75,222
246,Gary Engler,hb,73,Akron,21,0,77,217
247,George Pettit,hb,63,Pittsburgh,31,10,69,222
248,Timothy Haber,hb,85,Santa Clara,28,7,72,203
249,Terry Hodgins,hb,61,Colorado,32,11,76,217
250,Robert Alexander,hb,59,South Carolina,30,9,70,199
251,Victor Valenza,hb,75,Harvard,24,3,69,219
252,Gabriel Davis,hb,67,Miami (Fla.),24,3,68,180
253,Robert August,hb,68,Arizona State,26,5,74,184
254,James Rodriguez,hb,58,Ohio State,24,3,77,200
255,Clarence Hawker,hb,75,Clemson,25,4,74,205
256,Vincent Horn,hb,73,Wake Forest,33,12,74,184
257,Edward Coronel,hb,82,Occidental,28,7,76,196
258,Matthew Thurman,hb,63,Oklahoma State,27,6,72,218
259,Raul Cline,hb,68,Nebraska,25,4,72,226
260,Charles Turkin,hb,60,Kansas State,21,0,67,194
261,William Fleek,hb,75,Georgia,27,6,72,183
262,Donald Wisman,hb,58,Miami (Fla.),21,0,69,189
263,Bobby Foley,hb,58,LSU,24,3,73,189
264,Randy Vayner,hb,58,Washington State,27,6,70,216
265,Abraham Monroe,hb,66,Wis.-Eau Claire,22,1,73,193
266,Felix Lynch,hb,67,Tennessee State,32,11,73,198
267,Jeffery Mannings,hb,62,Wisconsin,28,7,75,190
268,William Wilkes,hb,68,San Jose State,25,4,68,214
269,Jon Irwin,hb,66,Arizona,25,4,71,184
270,Andre Sumrall,hb,75,Michigan,29,8,68,183
271,Kevin Lomboy,hb,57,Prairie View A&M,30,9,72,180
272,Max Gray,hb,57,Kentucky,30,9,75,203
273,Stephen Johnston,hb,68,Mississippi,25,4,66,191
274,Columbus Grey,hb,59,North Carolina,25,4,70,205
275,Jorge Call,hb,56,West Virginia,22,1,75,185
276,Randall Montgomery,hb,62,Michigan State,29,8,67,230
277,James Johnson,hb,62,Northwestern,26,5,69,205
278,Kelly Lopez,hb,69,Pennsylvania,26,5,77,215
279,Billie Allen,hb,64,Syracuse,26,5,77,191
280,John Bryant,hb,65,Clark Atlanta,30,9,72,198
281,Arturo Miraglia,hb,56,Virginia,27,6,69,201
282,Ray Bartlett,hb,95,Georgia,24,3,71,191
283,James Oakley,hb,68,New Mexico,24,3,68,181
284,William Harris,hb,82,Indiana (PA),24,3,76,203
285,Josh Seat,hb,60,Alabama,30,9,68,219
286,Bruce Hwang,hb,69,Winston-Salem State,23,2,72,230
287,Jack Brian,hb,65,Pittsburgh,25,4,66,206
288,James Hixon,hb,92,Syracuse,21,0,67,197
289,Daniel Siggins,hb,68,South Carolina State,29,8,77,230
290,Christopher Polan,hb,60,Texas A&M,27,6,66,180
291,Daniel Myers,hb,61,Norfolk State,26,5,66,210
292,George Hoffman,hb,68,San Jose State,21,0,71,225
293,Dale Curtin,hb,81,Syracuse,26,5,69,216
294,Kendrick Brooks,hb,69,New Mexico State,25,4,77,206
295,Willie Smith,hb,70,UCLA,28,7,75,214
296,Evan Barger,hb,73,Nebraska,27,6,72,188
297,Jason Williams,hb,61,LSU,25,4,76,229
298,David Wood,hb,70,Portland State,23,2,66,198
299,Edwin Nageotte,hb,59,Pittsburgh,25,4,66,214
300,Jose Shimizu,hb,94,Texas Christian,28,7,75,182
301,Adam Roybal,hb,60,Ohio State,26,5,76,190
302,Louis Otsu,hb,86,Washington State,24,3,66,214
303,Sylvester Mccalley,hb,72,Northwestern,27,6,73,218
304,Arturo Bass,hb,68,Houston,31,10,70,206
305,Terrence Hartley,hb,59,Arkansas-Pine Bluff,27,6,67,182
306,Jeremy Chandler,hb,61,Virginia Tech,22,1,72,193
307,George Brueggeman,hb,67,Colgate,31,10,73,230
308,Johnny Bosak,hb,73,Alabama,23,2,74,182
309,Travis Coelho,hb,60,Arizona State,26,5,77,198
310,Alvin Nachtrieb,hb,62,UCLA,23,2,77,219
311,David Maldonado,hb,63,Ohio U.,24,3,69,188
312,Edward Herr,hb,66,Iowa State,22,1,71,182
313,Virgil Wilson,hb,66,Nebraska,22,1,67,223
314,Mark Krous,hb,70,Nevada,31,10,70,225
315,Douglas Agee,hb,64,Clemson,21,0,68,213
316,Wendell Smith,hb,70,Maryland,25,4,76,192
317,Alan Mcbride,hb,71,Northwestern,24,3,74,203
318,Kyle Ryan,hb,62,Miami (Ohio),27,6,72,205
319,Michael Gomez,hb,61,Morris Brown,23,2,74,220
320,Jacob Brothers,hb,67,Alcorn State,28,7,75,227
321,John Decker,hb,68,Southern Mississippi,27,6,67,204
322,Bruce Cray,hb,71,Texas,21,0,71,220
323,James Delgado,hb,73,Miami (Fla.),27,6,68,184
324,Edgar Canning,hb,69,Eastern Washington,30,9,73,197
325,John Scala,hb,90,Ohio State,22,1,73,227
326,Ronald Heath,hb,57,UCLA,23,2,77,221
327,Harold Garcia,hb,72,Arkansas State,24,3,74,218
328,Jeffrey Gold,hb,69,Arizona State,28,7,73,207
329,Jon Mulherin,hb,57,Arkansas State,22,1,66,186
330,Samuel Thorne,hb,69,Luther,26,5,73,208
331,Daniel Hensley,hb,56,Miami (Fla.),29,8,73,227
332,Lewis Edemann,hb,74,Army,24,3,74,193
333,Jerry Aguila,hb,84,Tulsa,28,7,70,225
334,Jerry Reinwald,hb,72,Oklahoma,27,6,70,197
335,Jason Stanesic,hb,57,North Carolina State,28,7,74,222
336,Jacob Olberding,hb,74,Notre Dame,21,0,74,223
337,Michael Campos,hb,97,Texas Tech,24,3,67,191
338,David Garza,hb,76,Missouri State,24,3,68,204
339,George Patrick,hb,65,Michigan,25,4,69,221
340,Robert Wilson,hb,58,Nebraska,26,5,71,218
341,Roger Otto,hb,69,Kent State,27,6,74,183
342,Tony Prosser,hb,56,Minnesota State,28,7,66,221
343,Donald Hill,hb,69,Idaho,23,2,73,216
344,William Williams,hb,58,Ferris State,24,3,77,191
345,Ryan Smith,hb,63,Mississippi,31,10,73,190
346,Lamar Dewey,hb,72,California Lutheran,25,4,66,219
347,Ramon Parker,hb,60,Liberty,21,0,69,213
348,Dan Alessio,hb,60,Ohio State,22,1,77,192
349,Daniel Manganaro,hb,56,Prairie View A&M,22,1,77,184
350,Billy Armstrong,hb,79,Georgia,29,8,66,210
351,John Hamman,hb,59,Maryland,27,6,66,228
352,Michael Neal,hb,97,Pittsburgh,25,4,66,230
353,Justin Amador,hb,73,Stanford,21,0,69,183
354,Horace Kertesz,hb,72,Johnson C. Smith,30,9,70,197
355,Melvin Oberg,hb,70,Wake Forest,26,5,75,193
356,John Stancill,hb,62,Texas,26,5,68,196
357,Glen Kondo,hb,98,Washington,25,4,70,203
358,Jose Byrd,hb,64,Rice,24,3,73,186
359,Earl Robbins,hb,60,Wis.-Eau Claire,24,3,77,201
360,Eric Gruis,hb,62,Connecticut,24,3,73,184
361,Jose Izzi,hb,66,Florida State,24,3,68,212
362,Jerry Miller,hb,59,Kent State,30,9,68,180
363,Robert Livingston,hb,65,Wake Forest,28,7,76,192
364,Daniel Lombardi,hb,56,No College,23,2,77,197
365,Chris Miley,hb,65,Michigan State,27,6,69,212
366,Joseph Knight,hb,81,Iowa State,30,9,74,224
367,Dale Huber,hb,61,Illinois,29,8,69,203
368,Paul Melvin,hb,55,Villanova,25,4,70,219
369,Eric Mclarney,hb,68,Fresno State,24,3,69,189
370,Roy Garcia,hb,56,Stanford,23,2,66,215
371,Steve Zinke,hb,75,Michigan,22,1,70,190
372,Paul Reed,hb,61,Kentucky State,21,0,77,197
373,Joe Coleman,hb,74,Michigan,22,1,69,183
374,Frank Mack,hb,73,North Carolina A&T,30,9,72,224
375,Robert Torres,hb,98,Louisiana-Monroe,21,0,71,182
376,Scott Briggs,hb,55,Colorado,28,7,68,196
377,Raymond Erwin,hb,70,Texas,31,10,70,225
378,Bradley Black,hb,55,Indiana (PA),30,9,73,207
379,Michael Barnett,hb,70,Rutgers,29,8,76,185
380,Jack Hall,hb,71,Notre Dame,26,5,67,222
381,Mark Bowdle,hb,57,The Citadel,25,4,71,198
382,Roland Mcintosh,hb,99,Boston College,26,5,69,224
383,Jerry Winter,hb,73,Georgia Tech,24,3,66,223
384,Jeffrey Matthews,hb,55,Connecticut,21,0,66,222
385,Alan Wulf,hb,57,Colorado State,28,7,69,221
386,Ivan Stine,hb,67,South Florida,27,6,73,222
387,Louis Petrash,hb,75,Illinois,21,0,75,222
388,James Williams,hb,66,Pittsburgh,27,6,74,201
389,Eric Plowman,hb,59,Dayton,23,2,73,186
390,Robert Chick,hb,91,Purdue,27,6,76,195
391,John Schermerhorn,hb,70,California,24,3,75,187
392,Kenneth Stratman,hb,87,Arkansas,27,6,76,225
393,Jose Rodriquez,hb,74,Alabama,27,6,70,201
394,Terry Estrella,hb,65,Florida,27,6,67,182
395,Ryan Hanson,hb,71,Alabama,27,6,72,206
396,Gene Barela,hb,87,Virginia Tech,21,0,76,206
397,Jerry Fultz,hb,63,Cal State-Northridge,24,3,70,188
398,Clarence Anderson,hb,84,East Tennessee State,21,0,73,204
399,Ali Payne,hb,61,Clemson,26,5,72,185
400,Walter Cox,hb,62,Notre Dame,25,4,77,213
401,John Patton,hb,77,USC,29,8,77,221
402,Joshua Ramirez,hb,70,Ohio State,28,7,72,213
403,Emmett Marrero,hb,64,Rutgers,26,5,74,190
404,Barry Nichelson,hb,66,Grambling State,28,7,69,192
405,Samuel Beabout,hb,79,Santa Clara,27,6,76,202
406,Kenneth Woodall,hb,60,Louisville,28,7,72,197
407,Joe Cameron,hb,71,Western Michigan,24,3,73,214
408,Roy Lee,hb,85,Prairie View A&M,23,2,74,186
409,Abram Marquez,hb,55,Villanova,28,7,77,215
410,Robert Gable,hb,73,Holy Cross,27,6,77,228
411,Wayne Yeomans,hb,71,Mercer,30,9,75,229
412,Samuel Vega,hb,66,Johnson C. Smith,22,1,72,183
413,John Lechuga,hb,58,Oklahoma,22,1,66,224
414,Eldridge Morris,hb,60,Eastern Illinois,25,4,76,221
415,Martin Bonner,hb,59,Massachusetts,29,8,68,198
416,James Tabron,hb,56,Louisiana Coll.,21,0,73,196
417,Luigi Wells,hb,71,Georgia Tech,27,6,66,186
418,James Spruill,hb,69,Carthage,26,5,72,184
419,Peter Fredrickson,hb,75,Kansas State,21,0,72,184
420,David Coe,hb,64,Cincinnati,25,4,72,207
421,Jeremy Shevlin,hb,70,Lehigh,24,3,71,215
422,Brian Ferrar,hb,62,UCLA,24,3,72,215
423,Edgar Klan,hb,70,Ohio Wesleyan,25,4,70,185
424,George Reynolds,hb,55,Illinois,31,10,72,190
425,Arthur Ratcliff,hb,71,Arkansas,27,6,67,219
426,Don Scott,hb,83,Notre Dame,27,6,67,211
427,Brad Johnson,hb,90,Northern Illinois,25,4,67,205
428,Jimmy Maglione,hb,94,Texas A&M,23,2,66,198
429,Brian Hayes,hb,60,Iowa,25,4,67,189
430,Julius Coar,hb,74,Michigan State,29,8,72,214
431,Michael Anna,hb,91,Missouri,29,8,74,214
432,Lloyd Robley,hb,74,Texas Christian,27,6,68,189
433,Robert Clark,hb,74,Alabama,25,4,67,194
434,Roy Rowald,hb,58,Auburn,24,3,68,228
435,Dave Thomas,hb,71,Auburn,31,10,67,212
436,Jim Wolfe,hb,70,UCLA,22,1,74,217
437,Donald Harmon,hb,58,Rowan,27,6,73,196
438,Jerry Yarborough,hb,75,Emporia State,27,6,70,229
439,David Kelly,hb,72,St. Augustine's,27,6,76,229
440,Anthony Eichhorn,hb,72,Illinois,23,2,76,206
441,Jeffrey White,hb,71,McNeese State,23,2,69,203
442,Kevin Campbell,hb,58,Iowa,26,5,69,222
443,Richard Mason,hb,57,Penn State,31,10,77,218
444,Jan Hutcherson,hb,90,Linfield,26,5,66,187
445,Charles Little,hb,64,Tennessee,26,5,72,188
446,Edgar Smith,hb,62,UCLA,26,5,77,203
447,Jose Misfeldt,hb,58,Minnesota,21,0,70,219
448,Christian Mckissick,hb,60,Tennessee,29,8,72,223
449,Kevin Workman,hb,75,USC,27,6,69,213
450,Leslie Mccarty,fb,71,Mississippi State,27,6,75,253
451,Glenn Neave,fb,72,Hawaii,24,3,75,270
452,Christopher Robinson,fb,73,USC,23,2,77,201
453,Michael Gosz,fb,60,Iowa,25,4,75,232
454,Wallace Smith,fb,67,Iowa,26,5,71,225
455,George Easton,fb,70,Penn State,27,6,79,266
456,Albert Ruiz,fb,79,Clemson,21,0,75,219
457,Nicholas Houlahan,fb,69,Penn State,26,5,66,251
458,William Goble,fb,56,Texas-El Paso,27,6,71,224
459,Mark Lee,fb,69,Idaho,26,5,77,246
460,David Jones,fb,81,Kansas,28,7,68,274
461,Fred Ocampo,fb,90,Louisiana-Monroe,26,5,80,262
462,Jorge Ortiz,fb,65,Utah State,21,0,73,220
463,David Desrochers,fb,60,No College,21,0,79,205
464,Timothy Pace,fb,95,Fresno State,23,2,71,228
465,Philip Wilson,fb,78,Miami (Fla.),23,2,71,232
466,Tom Mathis,fb,58,Purdue,28,7,70,238
467,Michael Haugen,fb,66,USC,30,9,71,230
468,Jake Hayes,fb,95,Missouri,28,7,68,260
469,Gregory Gale,fb,90,Michigan,27,6,77,272
470,Eugene Zuniga,fb,85,Wake Forest,23,2,80,226
471,Gary Tellefson,fb,57,James Madison,27,6,66,246
472,Brian Midgley,fb,61,Kansas State,23,2,69,219
473,Joe Nowak,fb,73,Duke,26,5,70,255
474,William Busby,fb,98,Colorado,28,7,75,263
475,Joshua Whitaker,fb,70,Western Kentucky,27,6,72,218
476,Carl Gardner,fb,66,North Texas,26,5,80,274
